Lat	Lon
	
	
	
40.036389	-75.130477
39.969532	-75.16635
39.94007	-75.166412
39.979586	-75.171149
	
	
	
	
	
39.976134	-75.160229
39.977872	-75.163073
	
40.04127	-75.075602
	
	
39.990907	-75.122057
	
	
39.975724	-75.178874
40.01243	-75.069032
	
39.975197	-75.266605
39.959754	-75.235121
40.02849	-75.099584
39.959005	-75.217184
39.995626	-75.125869
40.040153	-75.1769
39.981381	-75.148657
39.965767	-75.246174
39.972396	-75.142238
	
39.965636	-75.231825
40.020219	-75.077126
39.968878	-75.236743
	
39.940641	-75.171071
	
	
	
39.994678	-75.094481
39.953878	-75.194694
40.006611	-75.213489
39.960435	-75.228597
	
	
	
39.949959	-75.223059
	
	
39.986415	-75.169577
40.046875	-75.07033
	
39.983601	-75.160204
40.032092	-75.084733
	
	
39.915826	-75.177232
39.975158	-75.249292
39.925513	-75.159205
40.020515	-75.135353
	
	
40.017622	-75.085511
40.032924	-75.032986
39.883852	-75.230706
39.983081	-75.163557
39.975478	-75.153582
39.958653	-75.214022
	
39.955691	-75.189919
39.965085	-75.205535
39.956487	-75.196171
39.958779	-75.209228
	
39.982888	-75.163599
	
	
	
	
39.931814	-75.188667
39.935917	-75.177152
39.9337	-75.177542
39.934427	-75.179686
	
40.055312	-75.073315
	
	
	
	
	
	
39.916929	-75.170533
	
39.935697	-75.152077
	
40.007772	-75.102881
40.003593	-75.103664
	
40.049404	-75.067901
39.925099	-75.17941
40.087979	-75.023527
39.951586	-75.156776
39.924675	-75.171669
40.023616	-75.115979
39.950587	-75.193967
39.990907	-75.122057
40.112079	-75.023628
39.943674	-75.165577
39.877347	-75.247884
39.990417	-75.127084
	
39.941788	-75.150781
39.91646	-75.159099
39.918509	-75.185085
	
	
40.045349	-75.098186
	
39.996151	-75.171906
	
39.94169	-75.150014
	
	
40.036367	-75.085655
39.929674	-75.162438
39.923506	-75.143638
	
	
39.927906	-75.177883
40.067016	-75.156289
	
	
	
40.018208	-75.11093
40.004502	-75.150953
	
	
	
39.947753	-75.16079
39.944004	-75.223069
	
	
	
	
	
40.086168	-74.971153
	
	
	
	
	
39.946881	-75.144875
	
	
	
	
39.950324	-75.226958
	
	
	
	
40.100745	-75.007961
39.944312	-75.228316
	
39.952665	-75.21947
40.017651	-75.064964
39.964669	-75.222027
	
	
	
	
40.030616	-75.078742
	
	
	
	
40.102131	-75.029016
40.039164	-75.122354
	
39.942767	-75.157933
40.067622	-75.178264
40.035317	-75.121299
39.995447	-75.125909
40.032895	-75.145479
	
	
	
	
	
	
40.044221	-75.117166
40.008954	-75.068881
40.038292	-75.109474
39.977789	-75.181166
39.959301	-75.209349
39.970318	-75.179653
40.035109	-75.034206
39.937545	-75.166949
	
	
	
	
	
40.025133	-75.082684
39.948806	-75.238247
40.107011	-75.038589
	
	
39.955362	-75.189472
40.043001	-75.190581
	
	
40.009537	-75.090835
39.956415	-75.202167
	
	
	
	
	
	
	
	
39.961942	-75.240193
	
	
	
	
39.978568	-75.243294
40.007003	-75.100844
39.91307	-75.232515
39.950358	-75.170567
	
39.952073	-75.161485
40.035317	-75.121299
	
	
40.0262	-75.084101
	
39.977321	-75.175701
40.012063	-75.090582
